#    n         h                k                l
   131  -0.31230433E+01  -0.10954391E-01   0.68911509E-02
   132  -0.31280059E+01  -0.10872928E-01   0.68395288E-02
   133  -0.31329647E+01  -0.10792758E-01   0.67886171E-02
   134  -0.31379199E+01  -0.10713853E-01   0.67384029E-02
   135  -0.31428716E+01  -0.10636187E-01   0.66888735E-02
   136  -0.31478201E+01  -0.10559733E-01   0.66400168E-02
   137  -0.31527656E+01  -0.10484466E-01   0.65918206E-02
   138  -0.31577082E+01  -0.10410360E-01   0.65442732E-02
   139  -0.31626481E+01  -0.10337392E-01   0.64973631E-02
   140  -0.31675855E+01  -0.10265537E-01   0.64510790E-02
   141  -0.31725205E+01  -0.10194773E-01   0.64054099E-02
   142  -0.31774533E+01  -0.10125078E-01   0.63603452E-02
   143  -0.31823840E+01  -0.10056429E-01   0.63158742E-02
   144  -0.31873127E+01  -0.99888045E-02   0.62719868E-02
   145  -0.31922396E+01  -0.99221850E-02   0.62286729E-02
   146  -0.31971648E+01  -0.98565496E-02   0.61859227E-02
   147  -0.32020883E+01  -0.97918788E-02   0.61437265E-02
   148  -0.32070102E+01  -0.97281532E-02   0.61020749E-02
   149  -0.32119308E+01  -0.96653542E-02   0.60609589E-02
   150  -0.32168500E+01  -0.96034635E-02   0.60203693E-02
   151  -0.32217679E+01  -0.95424633E-02   0.59802974E-02
   152  -0.32266847E+01  -0.94823362E-02   0.59407346E-02
   153  -0.32316003E+01  -0.94230652E-02   0.59016724E-02
   154  -0.32365149E+01  -0.93646338E-02   0.58631026E-02
   155  -0.32414284E+01  -0.93070259E-02   0.58250172E-02
   156  -0.32463411E+01  -0.92502257E-02   0.57874081E-02
   157  -0.32512529E+01  -0.91942178E-02   0.57502678E-02
   158  -0.32561639E+01  -0.91389873E-02   0.57135886E-02
   159  -0.32610741E+01  -0.90845194E-02   0.56773630E-02
   160  -0.32659835E+01  -0.90308000E-02   0.56415839E-02
   161  -0.32708923E+01  -0.89778149E-02   0.56062442E-02
   162  -0.32758004E+01  -0.89255506E-02   0.55713368E-02
   163  -0.32807079E+01  -0.88739938E-02   0.55368550E-02
   164  -0.32856148E+01  -0.88231314E-02   0.55027920E-02
   165  -0.32905211E+01  -0.87729507E-02   0.54691413E-02
   166  -0.32954269E+01  -0.87234394E-02   0.54358966E-02
   167  -0.33003322E+01  -0.86745852E-02   0.54030515E-02
   168  -0.33052370E+01  -0.86263763E-02   0.53705998E-02
   169  -0.33101414E+01  -0.85788012E-02   0.53385356E-02
   170  -0.33150452E+01  -0.85318484E-02   0.53068529E-02
   171  -0.33199486E+01  -0.84855070E-02   0.52755459E-02
   172  -0.33248516E+01  -0.84397661E-02   0.52446089E-02
   173  -0.33297541E+01  -0.83946150E-02   0.52140364E-02
   174  -0.33346563E+01  -0.83500435E-02   0.51838229E-02
   175  -0.33395580E+01  -0.83060415E-02   0.51539630E-02
   176  -0.33444593E+01  -0.82625990E-02   0.51244515E-02
   177  -0.33493602E+01  -0.82197063E-02   0.50952833E-02
   178  -0.33542607E+01  -0.81773539E-02   0.50664532E-02
   179  -0.33591609E+01  -0.81355327E-02   0.50379563E-02
   180  -0.33640606E+01  -0.80942335E-02   0.50097879E-02
   181  -0.33689599E+01  -0.80534474E-02   0.49819430E-02
   182  -0.33738588E+01  -0.80131658E-02   0.49544170E-02
   183  -0.33787572E+01  -0.79733801E-02   0.49272053E-02
   184  -0.33836553E+01  -0.79340821E-02   0.49003034E-02
   185  -0.33885529E+01  -0.78952635E-02   0.48737069E-02
   186  -0.33934501E+01  -0.78569164E-02   0.48474114E-02
   187  -0.33983469E+01  -0.78190330E-02   0.48214127E-02
   188  -0.34032432E+01  -0.77816057E-02   0.47957066E-02
   189  -0.34081390E+01  -0.77446269E-02   0.47702889E-02
   190  -0.34130344E+01  -0.77080893E-02   0.47451557E-02
   191  -0.34179292E+01  -0.76719857E-02   0.47203030E-02
   192  -0.34228236E+01  -0.76363091E-02   0.46957268E-02
   193  -0.34277174E+01  -0.76010526E-02   0.46714235E-02
   194  -0.34326107E+01  -0.75662095E-02   0.46473891E-02
