l  tau  s   h   p   n   pp  lm  lv  la  lj  ls         Hs1         body
2   0   0  -1   0   0   0   0   1   0   0   0  +7.834910273590e-08  MO
2   0   0  -1   0   0   0   0   1   0   0   0  +1.613354132318e-06  SU
2   0   0  -1   0   0   0   0   1   0   0   0  +2.143497909276e-06  VE
2   0   0 -14   0   0   0   0   9   0   0   0  -1.808942601946e-09  VE
2   0   0  -2   0   0   0   0   0   5   0   0  +8.985547969963e-09  MA
2   0   0   1   0   0   0   0   0   0  -4   0  +1.160371467967e-08  SU
2   0   0   1   0   0   0   0   0   0  -4   0  +2.533356786367e-08  JU
2   0   0   1  -2  -2  -1   0   0   0   0   0  -1.272410226209e-07  MO
2   0   0  -1   0   1   0   0   1   0   0   0  +3.959555119658e-08  MO
2   0   0   6   0   0   0   0   0 -10   0   0  +5.438874053305e-09  MA
2   0   0 -14   0   1   0   0   9   0   0   0  +1.038780465572e-08  SU
2   0   0   1  -2  -1  -1   0   0   0   0   0  -2.866450447044e-07  MO
2   0   0   1  -2  -1   1   0   0   0   0   0  -7.431136208795e-08  MO
2   0   0  -3   0   0   0   0   0   7   0   0  +4.769163187790e-09  MA
2   0   0   5   0   0   0   0   0  -8   0   0  +9.118219176460e-09  MA
2   0   0   1   0   0   0   0   0   0  -3   0  +9.730053897222e-08  SU
2   0   0   1   0   0   0   0   0   0  -3   0  +1.076582520180e-07  JU
2   0   0   1  -1  -1   0   0   0   0  -1   0  +1.889104317737e-08  MO
2   0   0   1  -1  -1   0   0   0   0  -1   0  +1.446436522247e-07  SU
2   0   0   4   0   0   0   0  -2   0   0   0  +2.885831935120e-07  VE
2   0   0  -9   0   0   0   0   6   0   0   0  +9.160110966077e-09  SU
2   0   0  -9   0   0   0   0   6   0   0   0  +3.721641680705e-08  VE
2   0   0   1  -2   0   1   0   0   0   0   0  +3.650807959248e-07  MO
3   0   0   1  -1  -2  -1   0   0   0   0   0  +1.107072872391e-08  MO
2   0   0  -4   0   0   0   0   0   9   0   0  +2.334867743507e-09  MA
2   0   0   1  -1   0   0   0   0   0  -1   0  +2.856585568456e-08  MO
2   0   0   4   0   0   0   0   0  -6   0   0  +9.656257605297e-08  SU
2   0   0   4   0   0   0   0   0  -6   0   0  +1.319536525713e-08  MA
2   0   0   1   1   1   0   0   0   0  -4   0  +1.816988972506e-08  SU
2   0   0   1   0   0   0   0   0   0  -2   0  +1.053297951440e-06  SU
2   0   0   1   0   0   0   0   0   0  -2   0  +5.827423731564e-08  JU
3   0   0   1  -1  -1  -1   0   0   0   0   0  -1.470308546862e-07  MO
2   0   0   1  -1  -1   0   0   0   0   0   0  +2.996332525864e-07  MO
2   0   0   1   0  -1   0   0   0   0  -1   0  +3.933544752057e-08  MO
2   0   0   1  -1  -1   0   0   0   0   0   1  +9.543333821496e-09  SU
2   0   0   0   1   0   0   0   0   0   9   0  +2.512738820065e-07  SU
2   0   0   9   0   0   0   0  -5   0   0   0  +5.843752608244e-09  VE
2   0   0   1  -1   1   0   0   0   0   0  -2  +5.669328855044e-07  SU
2   0   0   3   0   0   0   0   0  -4   0   0  +1.994242515873e-08  MA
2   0   0  -4   0   0   0   0   3   0   0   0  +9.968458369428e-07  SU
2   0   0  -4   0   0   0   0   3   0   0   0  +1.436102658907e-07  VE
2   0   0 -17   0   0   0   0  11   0   0   0  +2.791744112365e-08  SU
2   0   0 -17   0   0   0   0  11   0   0   0  +1.469146518621e-09  VE
2   0   0   2   0  -1   0   0   0  -2   0   0  +2.466063186679e-08  SU
3   0   0   1  -1   0  -1   0   0   0   0   0  -7.402193127164e-07  MO
2   0   0   1  -1   0   0   0   0   0   0   0  +9.819917272370e-06  MO
2   0   0   1  -1   0   0   0   0   0   0   0  -9.186534109724e-07  SU
3   0   0   1  -1   0   1   0   0   0   0   0  +1.989113285100e-07  MO
2   0   0   1   1  -1   0   0   0   0  -2   0  +7.629192637646e-09  SU
2   0   0   1   0  -2  -1   0   0   0   0   0  +7.731782469239e-07  MO
2   0   0   1   0   0   0   0   0   0   0  -3  +7.809437979023e-09  SU
2   0   0   1   0   0   0   0   0   0   0  -3  +2.264287496018e-09  SA
2   0   0   1   0   0   0   0   0   0  -1   0  +5.887236422324e-08  MO
2   0   0   1   0   0   0   0   0   0  -1   0  +4.861279875123e-06  SU
2   0   0   1   0   0   0   0   0   0  -1   0  +4.224827624314e-07  JU
2   0   0   1   0   0   0   0   0   0   0  -2  +7.462992154522e-08  SU
2   0   0   2   0   0   0   0   0  -2   0   0  +1.889675851488e-08  MO
2   0   0   2   0   0   0   0   0  -2   0   0  +1.415000408217e-06  SU
2   0   0   2   0   0   0   0   0  -2   0   0  +4.059849178687e-08  MA
2   0   0   1  -1   1   0   0   0   0   0   0  -1.824427150619e-06  MO
3   0   0   1  -1   1   0   0   0   0   0   0  +1.154105380042e-08  MO
2   0   0   1   0  -1  -1   0   0   0   0   0  -4.205093297681e-05  MO
4   0   0   1   0  -1  -1   0   0   0   0   0  +1.620812571344e-08  MO
2   0   0   1   0  -1  -1   0   0   0   0   0  +1.573056486652e-07  SU
3   0   0   1   0  -1   0   0   0   0   0   0  -5.137396989527e-08  MO
2   0   0   1   0   0   0   0   0   0   0  -1  +2.960230633582e-07  SU
2   0   0   1   0   0   0   0   0   0   0  -1  +1.089277885595e-08  SA
2   0   0   1   0   1   0   0   0   0  -1   0  +2.988513335330e-08  MO
2   0   0  -4   1   0   0   0   3   0   0   0  +8.285273083396e-09  SU
2   0   0   1  -1   2   0   0   0   0   0   0  +2.865365081483e-08  MO
2   0   0  14   0   0   0   0  -8   0   0   0  +3.408812064237e-08  SU
