# n            h                    k                    l
  339   -3.9939969531702   -4.7992003509426E-03   2.3563593501041E-03
  340   -3.9981409821349   -4.7895342697467E-03   2.3506094458110E-03
  341   -4.0022815358448   -4.7799316839312E-03   2.3449117915581E-03
  342   -4.0064185961345   -4.7703919551993E-03   2.3392658777048E-03
  343   -4.0105521523658   -4.7609144136338E-03   2.3336711741754E-03
  344   -4.0146821896572   -4.7514984159354E-03   2.3281271715897E-03
  345   -4.0188086935070   -4.7421433427772E-03   2.3226333651662E-03
  346   -4.0229316501363   -4.7328485820461E-03   2.3171892528004E-03
  347   -4.0270510474432   -4.7236134921457E-03   2.3117943332061E-03
  348   -4.0311668695013   -4.7144374772871E-03   2.3064481238286E-03
  349   -4.0352791048017   -4.7053199296699E-03   2.3011501321911E-03
  350   -4.0393877380211   -4.6962602681825E-03   2.2958998842244E-03
  351   -4.0434927581760   -4.6872579038826E-03   2.2906968973571E-03
  352   -4.0475941493653   -4.6783122403320E-03   2.2855407108975E-03
  353   -4.0516919004675   -4.6694227289344E-03   2.2804308518900E-03
  354   -4.0557859971104   -4.6605887887973E-03   2.2753668662374E-03
  355   -4.0598764283067   -4.6518098609553E-03   2.2703482914125E-03
  356   -4.0639631789508   -4.6430854147652E-03   2.2653746845311E-03
  357   -4.0680462370468   -4.6344148794015E-03   2.2604455984014E-03
  358   -4.0721255905858   -4.6257977420928E-03   2.2555605896393E-03
  359   -4.0762012259209   -4.6172334359974E-03   2.2507192259589E-03
  360   -4.0802731290383   -4.6087214925816E-03   2.2459210807738E-03
  361   -4.0843412919312   -4.6002613381313E-03   2.2411657130940E-03
  362   -4.0884056995182   -4.5918524871150E-03   2.2364527096495E-03
  363   -4.0924663389871   -4.5834944222072E-03   2.2317816550190E-03
  364   -4.0965231994745   -4.5751866635977E-03   2.2271521308238E-03
  365   -4.1005762689128   -4.5669286840043E-03   2.2225637291874E-03
  366   -4.1046255344485   -4.5587200316448E-03   2.2180160475891E-03
  367   -4.1086709857088   -4.5505601896790E-03   2.2135086813983E-03
  368   -4.1127126099932   -4.5424487156260E-03   2.2090412370638E-03
  369   -4.1167503943587   -4.5343851065465E-03   2.2046133268653E-03
  370   -4.1207843280895   -4.5263689151209E-03   2.2002245601189E-03
  371   -4.1248144017853   -4.5183996822097E-03   2.1958745460044E-03
  372   -4.1288406014934   -4.5104769489694E-03   2.1915629131422E-03
  373   -4.1328629172522   -4.5026002662506E-03   2.1872892813294E-03
  374   -4.1368813371270   -4.4947691935234E-03   2.1830532806543E-03
  375   -4.1408958508532   -4.4869832877461E-03   2.1788545405128E-03
  376   -4.1449064460326   -4.4792421281389E-03   2.1746927010710E-03
  377   -4.1489131122935   -4.4715452594880E-03   2.1705673998194E-03
  378   -4.1529158399804   -4.4638922783778E-03   2.1664782770128E-03
  379   -4.1569146162043   -4.4562827686319E-03   2.1624249859131E-03
